-0.16	0.01	0.92	0.00	0.00	0.00	7946
-0.11	0.01	0.92	0.00	0.00	0.00	7999
-0.04	0.03	0.92	0.00	0.00	0.00	8051
0.05	0.01	0.97	0.00	0.00	0.00	8103
0.02	0.02	0.95	0.00	0.00	0.00	8157
0.04	-0.03	0.97	0.00	0.00	0.00	8209
0.02	0.00	0.95	0.00	0.00	0.00	8261
0.02	0.01	0.95	0.00	0.00	0.00	8314
0.02	0.00	0.95	0.00	0.00	0.00	8366
0.02	0.00	0.95	0.00	0.00	0.00	8419
0.02	0.01	0.94	0.00	0.00	0.00	8471
0.02	0.00	0.95	0.00	0.00	0.00	8524
0.03	0.01	0.94	0.00	0.00	0.00	8576
0.02	0.01	0.95	0.00	0.00	0.00	8629
0.02	0.00	0.96	0.00	0.00	0.00	8682
0.02	0.00	0.96	0.00	0.00	0.00	8734
0.02	0.00	0.95	0.00	0.00	0.00	8786
0.02	0.00	0.95	0.00	0.00	0.00	8839
0.01	0.00	0.94	0.00	0.00	0.00	8892
0.05	-0.00	0.94	0.00	0.00	0.00	8944
0.02	0.01	0.96	0.00	0.00	0.00	8996
0.02	0.00	0.95	0.00	0.00	0.00	9049
0.02	0.00	0.95	0.00	0.00	0.00	9102
0.02	0.01	0.96	0.00	0.00	0.00	9154
0.03	-0.00	0.94	0.00	0.00	0.00	9206
0.01	0.00	0.95	0.00	0.00	0.00	9259
0.03	0.00	0.95	0.00	0.00	0.00	9312
0.03	0.00	0.95	0.00	0.00	0.00	9364
0.02	0.00	0.95	0.00	0.00	0.00	9417
0.02	0.00	0.95	0.00	0.00	0.00	9469
0.03	0.01	0.95	0.00	0.00	0.00	9522
0.05	0.01	0.94	0.00	0.00	0.00	9574
0.01	0.02	0.95	0.00	0.00	0.00	9627
0.03	0.01	0.95	0.00	0.00	0.00	9679
